timestamp,imo,type,length,grossTonnage
2/5/2023 3:14,9352432,CS,162,12584
2/5/2023 3:16,9825049,TA,114,5972
2/5/2023 3:17,9644940,TA,101,4062
2/5/2023 3:22,9812676,TA,99,3898
2/5/2023 3:58,9536674,TA,100,3949
2/5/2023 4:15,9863314,CS,426,228283
2/5/2023 4:20,9234111,CS,204,25305
2/5/2023 4:34,9812365,TA,104,4565
2/5/2023 4:36,9468293,CS,330,106154
2/5/2023 4:56,9654919,TA,102,4194
2/5/2023 5:07,9742376,TA,58,498
2/5/2023 5:15,9404209,CS,239,40541
2/5/2023 5:29,9692533,TA,58,496
2/5/2023 5:38,9908554,TA,114,6113
2/5/2023 5:45,9836799,TA,82,1993
2/5/2023 5:55,9784908,TA,58,494
2/5/2023 5:57,9649067,TA,72,1274
2/5/2023 6:02,9838826,TA,114,6011
2/5/2023 6:17,9404857,CS,238,40168
2/5/2023 6:20,9131606,TA,79,1796
2/5/2023 6:28,9537238,TA,77,1589
2/5/2023 6:37,9832377,TA,146,13136
2/5/2023 6:37,9695872,TA,90,2795
2/5/2023 6:42,9365673,CS,149,9917
2/5/2023 6:55,9650509,TA,104,4557
2/5/2023 6:55,9494670,TA,189,29130
2/5/2023 7:06,9719707,TA,245,63915
2/5/2023 7:07,9153070,CS,168,14089
2/5/2023 7:07,9935533,TA,105,4605
2/5/2023 7:14,9955131,TA,73,1308
2/5/2023 7:17,9088146,TA,63,732
2/5/2023 7:21,9561411,TA,112,5763
2/5/2023 7:24,9601003,TA,77,1602
2/5/2023 7:36,9399870,TA,191,30110
2/5/2023 7:36,9344708,CS,242,41835
2/5/2023 7:37,9403621,CS,290,71867
2/5/2023 7:39,9379375,CS,175,15995
2/5/2023 7:50,9509841,TA,92,2999
2/5/2023 7:53,9601211,TA,77,1602
2/5/2023 8:02,9158587,CS,194,21611
2/5/2023 8:05,9682112,TA,112,5725
2/5/2023 8:10,9515424,TA,101,4116
2/5/2023 8:21,9760304,CS,182,17791
2/5/2023 8:23,9673109,TA,97,3595
2/5/2023 8:24,9735256,TA,90,2798
2/5/2023 9:07,9467823,TA,90,2834
2/5/2023 9:16,9384083,TA,106,4867
2/5/2023 10:09,9478614,TA,191,29981
2/5/2023 10:18,9515163,TA,81,1971
2/5/2023 10:22,9705677,TA,63,724
2/5/2023 10:35,9588689,TA,86,2405
2/5/2023 10:42,8717257,TA,49,148
2/5/2023 10:47,0,TA,121,7284
2/5/2023 10:55,9908566,TA,114,6113
2/5/2023 11:00,9349629,CS,242,42020
2/5/2023 11:04,9647916,TA,82,1999
2/5/2023 11:04,9537214,TA,77,1589
2/5/2023 11:07,9608049,TA,90,2818
2/5/2023 11:20,9840738,CS,223,32828
2/5/2023 11:20,9439199,TA,235,55909
2/5/2023 11:21,9825051,TA,114,5972
2/5/2023 11:39,9662655,TA,102,4194
2/5/2023 11:41,9461465,CS,314,91585
2/5/2023 11:47,9812676,TA,99,3898
2/5/2023 11:57,9832999,CS,186,19035
2/5/2023 11:59,9315616,TA,97,3587
2/5/2023 11:59,9703928,TA,56,399
2/5/2023 12:01,9601211,TA,77,1602
2/5/2023 12:09,9678666,TA,63,724
2/5/2023 12:11,9425057,TA,114,6111
2/5/2023 12:14,9385996,CS,207,26404
2/5/2023 12:16,9555606,TA,108,5083
2/5/2023 12:20,9705665,TA,63,724
2/5/2023 12:32,9550606,TA,92,2990
